"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "Batch", "TypeScript JSX", "CSS", "YAML", "comment", "blank", "total"
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Samplepapers/[id]/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Samplepapers/create/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 22, 175
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Samplepapers/create/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 139, 0, 1, 1, 141
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Samplepapers/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 2, 9, 112
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Samplepapers/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 2, 88
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/[username]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/[username]/style.module.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/contexts/samplepaperContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 11, 63
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/contexts/workerContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 16, 89
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/db.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/emailverification.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/middleware/errorhandler.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/middleware/verifyToken.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/Auth/signup.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/db.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/message.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
