"filename", "language", "YAML", "TypeScript JSX", "JSON", "CSS", "TypeScript", "Markdown", "JSON with Comments", "Batch", "JavaScript", "comment", "blank", "total"
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/API/responses/errors/index.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Auth/page.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 6, 22, 172
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Auth/style.module.css", "CSS", 0, 0, 0, 246, 0, 0, 0, 0, 0, 3, 5, 254
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Navbar/layout.tsx", "TypeScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 20, 142
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Navbar/style.module.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 2, 82
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Sample_papers/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/Sample_papers/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/[username]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/[username]/style.module.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/page.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/connections/style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/globals.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/layout.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/contexts/workerContext.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 16, 89
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/db.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/emailverification.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/middleware/errorhandler.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/middleware/verifyToken.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/Auth/signup.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/db.d.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/message.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/problem.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 2, 8, 115
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/models/mongoose_models/user.ts", "TypeScript", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 7, 100
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/authSlice.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/popupSlice.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 5, 82
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/slices/processSlice.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 7, 22
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/lib/streamReader.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/popup/layout.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 8, 89
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/popup/style.module.css", "CSS", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 3, 117
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/store.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/storeProvider.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/userprofile/page.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 1, 12, 122
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/userprofile/style.module.css", "CSS", 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 3, 107
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/verify/[token]/page.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/home/somecoder/Documents/web/web project/student-teacher/client/src/app/verify/[token]/style.module.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/home/somecoder/Documents/web/web project/student-teacher/client/tests-examples/demo-todo-app.spec.ts", "TypeScript", 0, 0, 0, 0, 314, 0, 0, 0, 0, 39, 85, 438
"/home/somecoder/Documents/web/web project/student-teacher/client/tests/example.spec.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 3, 9
"/home/somecoder/Documents/web/web project/student-teacher/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"Total", "-", 27, 613, 2020, 561, 2329, 23, 27, 5, 28, 147, 558, 6338
